id,field_roc_rule_index_id,field_rule_index_section_label,parent_section_by_label,parent_entity_id,field_rule_index_section_content,,,,,,,,
five__article_2__joinder_of_parties__181,five,Article 2. Joinder of Parties,Chapter 2. Parties and Joinder of Parties,five__chapter_2__parties_and_joinder_of_parties__179,Rule 5.24. Joinder of persons claiming interest,,,,,,,,Article 4. Manner of Service
five__article_3__employee_pension_benefit_plan__182,five,Article 3. Employee Pension Benefit Plan,Chapter 2. Parties and Joinder of Parties,five__chapter_2__parties_and_joinder_of_parties__179,Rule 5.29. Joinder of employee pension benefit plan,,,,,,,,Article 5. Pleadings and Amended Pleadings
five__chapter_3__filing_fees_and_fee_waivers__183,five,Chapter 3. Filing Fees and Fee Waivers,Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,Article 6. Specific Proceedings
five__article_1__filing_fees_and_fee_waivers__184,five,Article 1. Filing Fees and Fee Waivers,Chapter 3. Filing Fees and Fee Waivers,five__chapter_3__filing_fees_and_fee_waivers__183,Rule 5.40. Filing fees::Rule 5.41. Waiver of fees and costs,,,,,,,,Chapter 5. Family Centered Case Resolution Plans
five__article_2__special_procedures__185,five,Article 2. Special Procedures,Chapter 3. Filing Fees and Fee Waivers,five__chapter_3__filing_fees_and_fee_waivers__183,Rule 5.43. Fee waiver denials; voided actions; dismissal::Rule 5.45. Repayment of waived court fees and costs in family law support actions::Rule 5.46. Waiver of fees and costs-Supreme Court or Court of Appeal,,,,,,,,Chapter 6. Request for Court Orders
five__chapter_4__starting_and_responding_to_a_family_law_case__service_of_papers__186,five,Chapter 4. Starting and Responding to a Family Law Case; Service of Papers,Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,Article 2. Filing and Service
five__article_1__summonses__notices__and_declarations__187,five,"Article 1. Summonses, Notices, and Declarations",Chapter 4. Starting and Responding to a Family Law Case; Service of Papers,five__chapter_4__starting_and_responding_to_a_family_law_case__service_of_papers__186,Rule 5.50. Papers issued by the court::Rule 5.51. Confidential cover sheet for parentage actions or proceedings involving assisted reproduction; other requirements::Rule 5.52. Declaration under Uniform Child Custody Jurisdiction and Enforcement Act (UCCJEA),,,,,,,,Article 3. Meet-and-Confer Conferences
five__article_2__initial_pleadings__188,five,Article 2. Initial Pleadings,Chapter 4. Starting and Responding to a Family Law Case; Service of Papers,five__chapter_4__starting_and_responding_to_a_family_law_case__service_of_papers__186,Rule 5.60. Petition or complaint; alternative relief::Rule 5.62. Appearance by respondent::Rule 5.63. Request for order to quash proceeding or responsive relief,,,,,,,,Article 4. Evidence at Hearings
five__article_3__service_of_papers__189,five,Article 3. Service of Papers,Chapter 4. Starting and Responding to a Family Law Case; Service of Papers,five__chapter_4__starting_and_responding_to_a_family_law_case__service_of_papers__186,Rule 5.66. Proof of service,,,,,,,,Article 5. Reporting and Preparation of Order After Hearing
five__article_4__manner_of_service__190,five,Article 4. Manner of Service,Chapter 4. Starting and Responding to a Family Law Case; Service of Papers,five__chapter_4__starting_and_responding_to_a_family_law_case__service_of_papers__186,Rule 5.68. Manner of service of summons and petition; response; jurisdiction::Rule 5.72. Court order for service by publication or posting when respondent's address is unknown,,,,,,,,Article 6. Special Immigrant Juvenile Findings
five__article_5__pleadings_and_amended_pleadings__191,five,Article 5. Pleadings and Amended Pleadings,Chapter 4. Starting and Responding to a Family Law Case; Service of Papers,five__chapter_4__starting_and_responding_to_a_family_law_case__service_of_papers__186,Rule 5.74. Pleadings and amended pleadings,,,,,,,,Chapter 7. Request for Emergency Orders (Ex parte Orders)
five__article_6__specific_proceedings__192,five,Article 6. Specific Proceedings,Chapter 4. Starting and Responding to a Family Law Case; Service of Papers,five__chapter_4__starting_and_responding_to_a_family_law_case__service_of_papers__186,Rule 5.76. Domestic partnerships::Rule 5.77. Summary dissolution,,,,,,,,Article 1. Request for Emergency Orders (Ex parte Orders)
five__chapter_5__family_centered_case_resolution_plans__193,five,Chapter 5. Family Centered Case Resolution Plans,Division 1. Family Rules,five__division_1__family_rules__172,Rule 5.83. Family centered case resolution,,,,,,,,"Article 2. Notice, Service, Appearance"
five__chapter_6__request_for_court_orders__194,five,Chapter 6. Request for Court Orders,Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,Article 3. Procedural Matters Not Requiring Notice (Non-Emergency Orders)
five__article_1__general_provisions__195,five,Article 1. General Provisions,Chapter 6. Request for Court Orders,five__chapter_6__request_for_court_orders__194,Rule 5.90. Format of papers::Rule 5.91. Individual restraining order,,,,,,,,Chapter 8. Child Custody and Visitation (Parenting Time) Proceedings
five__article_2__filing_and_service__196,five,Article 2. Filing and Service,Chapter 6. Request for Court Orders,five__chapter_6__request_for_court_orders__194,Rule 5.92. Request for court order; responsive declaration::Rule 5.94. Order shortening time; other filing requirements; failure to serve request for order::Rule 5.95. Request to reschedule hearing::Rule 5.96. Place and manner of filing::Rule 5.97. Time frames for transferring jurisdiction,,,,,,,,Article 1. Child Custody Mediation
five__article_3__meet_and_confer_conferences__197,five,Article 3. Meet-and-Confer Conferences,Chapter 6. Request for Court Orders,five__chapter_6__request_for_court_orders__194,Rule 5.98. Meet-and-confer requirements; document exchange,,,,,,,,Article 2. Child Custody Investigations and Evaluations
five__article_4__evidence_at_hearings__198,five,Article 4. Evidence at Hearings,Chapter 6. Request for Court Orders,five__chapter_6__request_for_court_orders__194,Rule 5.111. Declarations supporting and responding to a request for court order::Rule 5.112.1. Declaration page limitation; exemptions::Rule 5.113. Live testimony::Rule 5.115. Judicial notice,,,,,,,,Article 3. Ex parte Communication
five__article_5__reporting_and_preparation_of_order_after_hearing__199,five,Article 5. Reporting and Preparation of Order After Hearing,Chapter 6. Request for Court Orders,five__chapter_6__request_for_court_orders__194,"Rule 5.123. Reporting of hearing proceedings::Rule 5.125. Preparation, service, and submission of order after hearing",,,,,,,,Article 4. Counsel Appointed to Represent a Child
five__article_6__special_immigrant_juvenile_findings__200,five,Article 6. Special Immigrant Juvenile Findings,Chapter 6. Request for Court Orders,five__chapter_6__request_for_court_orders__194,Rule 5.130. Request for Special Immigrant Juvenile findings,,,,,,,,Article 5. Children's Participation in Family Court
five__chapter_7__request_for_emergency_orders__ex_parte_orders___201,five,Chapter 7. Request for Emergency Orders (Ex parte Orders),Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,"Chapter 9. Child, Spousal, and Domestic Partner Support"
five__article_1__request_for_emergency_orders__ex_parte_orders___202,five,Article 1. Request for Emergency Orders (Ex parte Orders),Chapter 7. Request for Emergency Orders (Ex parte Orders),five__chapter_7__request_for_emergency_orders__ex_parte_orders___201,Rule 5.151. Request for temporary emergency (ex parte) orders; application; required documents,,,,,,,,Article 2. Certification of Statewide Uniform Guideline Support Calculators
five__article_2__notice__service__appearance__203,five,"Article 2. Notice, Service, Appearance",Chapter 7. Request for Emergency Orders (Ex parte Orders),five__chapter_7__request_for_emergency_orders__ex_parte_orders___201,Rule 5.165. Requirements for notice::Rule 5.167. Service of application; temporary restraining orders::Rule 5.169. Personal appearance at hearing for temporary emergency orders,,,,,,,,Chapter 10. Government Child Support Cases (Title IV-D Support Cases)
five__article_3__procedural_matters_not_requiring_notice__non_emergency_orders___204,five,Article 3. Procedural Matters Not Requiring Notice (Non-Emergency Orders),Chapter 7. Request for Emergency Orders (Ex parte Orders),five__chapter_7__request_for_emergency_orders__ex_parte_orders___201,Rule 5.170. Matters not requiring notice to other parties,,,,,,,,Chapter 11. Domestic Violence Cases
five__chapter_8__child_custody_and_visitation__parenting_time__proceedings__205,five,Chapter 8. Child Custody and Visitation (Parenting Time) Proceedings,Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,Article 1. Domestic Violence Prevention Act Cases
five__article_1__child_custody_mediation__206,five,Article 1. Child Custody Mediation,Chapter 8. Child Custody and Visitation (Parenting Time) Proceedings,five__chapter_8__child_custody_and_visitation__parenting_time__proceedings__205,Rule 5.210. Court-connected child custody mediation::Rule 5.215. Domestic violence protocol for Family Court Services,,,,,,,,Article 2. Tribal Court Protective Orders
five__article_2__child_custody_investigations_and_evaluations__207,five,Article 2. Child Custody Investigations and Evaluations,Chapter 8. Child Custody and Visitation (Parenting Time) Proceedings,five__chapter_8__child_custody_and_visitation__parenting_time__proceedings__205,Rule 5.220. Court-ordered child custody evaluations::Rule 5.225. Appointment requirements for child custody evaluators::Rule 5.230. Domestic violence training standards for court-appointed child custody investigators and evaluators,,,,,,,,Chapter 12. Separate Trials (Bifurcation) and Interlocutory Appeals
five__article_3__ex_parte_communication__208,five,Article 3. Ex parte Communication,Chapter 8. Child Custody and Visitation (Parenting Time) Proceedings,five__chapter_8__child_custody_and_visitation__parenting_time__proceedings__205,Rule 5.235. Ex parte communication in child custody proceedings,,,,,,,,Article 1. Separate Trials
five__article_4__counsel_appointed_to_represent_a_child__209,five,Article 4. Counsel Appointed to Represent a Child,Chapter 8. Child Custody and Visitation (Parenting Time) Proceedings,five__chapter_8__child_custody_and_visitation__parenting_time__proceedings__205,"Rule 5.240. Appointment of counsel to represent a child in family law proceedings::Rule 5.241. Compensation of counsel appointed to represent a child in a family law proceeding::Rule 5.242. Qualifications, rights, and responsibilities of counsel appointed to represent a child in family law proceedings",,,,,,,,Article 2. Interlocutory Appeals
five__article_5__children_s_participation_in_family_court__210,five,Article 5. Children's Participation in Family Court,Chapter 8. Child Custody and Visitation (Parenting Time) Proceedings,five__chapter_8__child_custody_and_visitation__parenting_time__proceedings__205,Rule 5.250. Children's participation and testimony in family court proceedings,,,,,,,,Chapter 13. Trials and Long-Cause Hearings
five__chapter_9__child__spousal__and_domestic_partner_support__211,five,"Chapter 9. Child, Spousal, and Domestic Partner Support",Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,Chapter 14. Default Proceedings and Judgments
five__article_1__general_provisions__212,five,Article 1. General Provisions,"Chapter 9. Child, Spousal, and Domestic Partner Support",five__chapter_9__child__spousal__and_domestic_partner_support__211,Rule 5.260. General provisions regarding support cases,,,,,,,,Chapter 15. Settlement Services
five__article_2__certification_of_statewide_uniform_guideline_support_calculators__213,five,Article 2. Certification of Statewide Uniform Guideline Support Calculators,"Chapter 9. Child, Spousal, and Domestic Partner Support",five__chapter_9__child__spousal__and_domestic_partner_support__211,Rule 5.275. Standards for computer software to assist in determining support,,,,,,,,Chapter 16. Limited Scope Representation; Attorney's Fees and Costs
five__chapter_10__government_child_support_cases__title_iv_d_support_cases___214,five,Chapter 10. Government Child Support Cases (Title IV-D Support Cases),Division 1. Family Rules,five__division_1__family_rules__172,"Rule 5.350. Procedures for hearings to cancel (set aside) voluntary declarations of parentage or paternity when no previous action has been filed::Rule 5.300. Purpose, authority, and definitions::Rule 5.305. Hearing of matters by a judge under Family Code sections 4251(a) and 4252(b)(7)::Rule 5.310. Use of existing family law forms::Rule 5.311. Implementation of new and revised governmental forms by local child support agencies::Rule 5.315. Memorandum of points and authorities::Rule 5.320. Attorney of record in support actions under title IV-D of the Social Security Act::Rule 5.324. Telephone appearance in title IV-D hearings and conferences::Rule 5.325. Procedures for clerk's handling of combined summons and complaint::Rule 5.330. Procedures for child support case registry form::Rule 5.335. Procedures for hearings on interstate income withholding orders::Rule 5.340. Judicial education for child support commissioners::Rule 5.350. Procedures for hearings to cancel (set aside) voluntary declarations of parentage or paternity when no previous action has been filed::Rule 5.355. Minimum standards of training for court clerk staff whose assignment includes title IV-D child support cases::Rule 5.360. Appearance by local child support agency::Rule 5.365. Procedure for consolidation of child support orders::Rule 5.370. Party designation in interstate and intrastate cases::Rule 5.372. Transfer of title IV-D cases between tribal court and state court::Rule 5.375. Procedure for a support obligor to file a motion regarding mistaken identity",,,,,,,,Article 1. Limited Scope Representation
five__chapter_11__domestic_violence_cases__215,five,Chapter 11. Domestic Violence Cases,Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,Article 2. Attorney's Fees and Costs
five__article_1__domestic_violence_prevention_act_cases__216,five,Article 1. Domestic Violence Prevention Act Cases,Chapter 11. Domestic Violence Cases,five__chapter_11__domestic_violence_cases__215,"Rule 5.380. Agreement and judgment of parentage in Domestic Violence Prevention Act cases::Rule 5.381. Modification of child custody, visitation, and support orders in Domestic Violence Prevention Act cases::Rule 5.382. Request to make minor's information confidential in domestic violence protective order proceedings",,,,,,,,Chapter 17. Family Law Facilitator
five__article_2__tribal_court_protective_orders__217,five,Article 2. Tribal Court Protective Orders,Chapter 11. Domestic Violence Cases,five__chapter_11__domestic_violence_cases__215,Rule 5.386. Procedures for filing a tribal court protective order,,,,,,,,Chapter 18. Court Coordination Rules
five__chapter_12__separate_trials__bifurcation__and_interlocutory_appeals__218,five,Chapter 12. Separate Trials (Bifurcation) and Interlocutory Appeals,Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,Chapter 19. Minor Marriage or Domestic Partnership
five__article_1__separate_trials__219,five,Article 1. Separate Trials,Chapter 12. Separate Trials (Bifurcation) and Interlocutory Appeals,five__chapter_12__separate_trials__bifurcation__and_interlocutory_appeals__218,Rule 5.390. Bifurcation of issues,,,,,,,,Division 2. Rules Applicable in Family and Juvenile Proceedings
five__article_2__interlocutory_appeals__220,five,Article 2. Interlocutory Appeals,Chapter 12. Separate Trials (Bifurcation) and Interlocutory Appeals,five__chapter_12__separate_trials__bifurcation__and_interlocutory_appeals__218,Rule 5.392. Interlocutory appeals,,,,,,,,Chapter 1. Contact and Coordination
five__chapter_13__trials_and_long_cause_hearings__221,five,Chapter 13. Trials and Long-Cause Hearings,Division 1. Family Rules,five__division_1__family_rules__172,Rule 5.393. Setting trials and long-cause hearings::Rule 5.394. Trial or hearing brief,,,,,,,,Chapter 2. Indian Child Welfare Act
five__chapter_14__default_proceedings_and_judgments__222,five,Chapter 14. Default Proceedings and Judgments,Division 1. Family Rules,five__division_1__family_rules__172,Rule 5.401. Default::Rule 5.402. Request for default; forms::Rule 5.405. Judgment checklists::Rule 5.407. Review of default and uncontested judgments submitted on the basis of declaration under Family Code section 2336::Rule 5.409. Default and uncontested judgment hearings on judgments submitted on the basis of declarations under Family Code section 2336::Rule 5.411. Stipulated judgments::Rule 5.413. Notice of entry of judgment::Rule 5.415. Completion of notice of entry of judgment,,,,,,,,Chapter 3. Intercountry Adoptions
five__chapter_15__settlement_services__223,five,Chapter 15. Settlement Services,Division 1. Family Rules,five__division_1__family_rules__172,Rule 5.420. Domestic violence procedures for court-connected settlement service providers,,,,,,,,Chapter 4: Protective Orders [Repealed]
five__chapter_16__limited_scope_representation__attorney_s_fees_and_costs__224,five,Chapter 16. Limited Scope Representation; Attorney's Fees and Costs,Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,Division 3. Juvenile Rules
five__article_1__limited_scope_representation__225,five,Article 1. Limited Scope Representation,Chapter 16. Limited Scope Representation; Attorney's Fees and Costs,five__chapter_16__limited_scope_representation__attorney_s_fees_and_costs__224,Rule 5.425. Limited scope representation; application of rules,,,,,,,,Chapter 1. Preliminary Provisions-Title and Definitions
five__article_2__attorney_s_fees_and_costs__226,five,Article 2. Attorney's Fees and Costs,Chapter 16. Limited Scope Representation; Attorney's Fees and Costs,five__chapter_16__limited_scope_representation__attorney_s_fees_and_costs__224,Rule 5.427. Attorney's fees and costs,,,,,,,,Chapter 2. Commencement of Juvenile Court Proceedings
five__chapter_17__family_law_facilitator__227,five,Chapter 17. Family Law Facilitator,Division 1. Family Rules,five__division_1__family_rules__172,Rule 5.430. Minimum standards for the Office of the Family Law Facilitator,,,,,,,,Chapter 3. General Conduct of Juvenile Court Proceedings
five__chapter_18__court_coordination_rules__228,five,Chapter 18. Court Coordination Rules,Division 1. Family Rules,five__division_1__family_rules__172,Rule 5.440. Related cases::Rule 5.445. Court communication protocol for domestic violence and child custody orders.,,,,,,,,Chapter 4. Subsequent Petitions and Modifications
five__chapter_19__minor_marriage_or_domestic_partnership__229,five,Chapter 19. Minor Marriage or Domestic Partnership,Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,Chapter 5. Appellate Review
five__article_1__general_provisions__230,five,Article 1. General Provisions,Chapter 19. Minor Marriage or Domestic Partnership,five__chapter_19__minor_marriage_or_domestic_partnership__229,Rule 5.448. Minor's request to marry or establish a domestic partnership,,,,,,,,Chapter 6. Emancipation
five__division_2__rules_applicable_in_family_and_juvenile_proceedings__231,five,Division 2. Rules Applicable in Family and Juvenile Proceedings,,,,,,,,,,,Chapter 7. Intercounty Transfers; Out-of-County Placements; Interstate Compact on the Placement of Children
five__chapter_1__contact_and_coordination__232,five,Chapter 1. Contact and Coordination,Division 2. Rules Applicable in Family and Juvenile Proceedings,five__division_2__rules_applicable_in_family_and_juvenile_proceedings__231,Rule 5.451. Contact after adoption agreement::Rule 5.460. Request for sibling contact information::Rule 5.475. Custody and visitation orders following termination of a juvenile court proceeding or probate court guardianship proceeding,,,,,,,,"Chapter 8. Restraining Orders, Custody Orders, and Guardianships General Court Authority"
five__chapter_2__indian_child_welfare_act__233,five,Chapter 2. Indian Child Welfare Act,Division 2. Rules Applicable in Family and Juvenile Proceedings,five__division_2__rules_applicable_in_family_and_juvenile_proceedings__231,"Rule 5.480. Application::Rule 5.481. Inquiry and notice::Rule 5.482. Proceedings after notice::Rule 5.483. Dismissal and transfer of case::Former rule 5.484. Renumbered effective January 1, 2020::Rule 5.484. Emergency proceedings involving an Indian child::Former rule 5.485. Renumbered effective January 1, 2020::Rule 5.485. Placement of an Indian child::Former rule 5.486. Renumbered effective January 1, 2020::Rule 5.486. Termination of parental rights::Former rule 5.487. Renumbered effective January 1, 2020::Rule 5.487. Petition to invalidate orders::Rule 5.488. Adoption record keeping",,,,,,,,Chapter 9. Parentage
five__chapter_3__intercountry_adoptions__234,five,Chapter 3. Intercountry Adoptions,Division 2. Rules Applicable in Family and Juvenile Proceedings,five__division_2__rules_applicable_in_family_and_juvenile_proceedings__231,"Rule 5.490. Adoption of a child resident in the United States by a resident of a foreign country party to the Convention of 29 May 1993 on Protection of Children and Cooperation in Respect of Intercountry Adoption (Convention or Hague Adoption Convention)::Rule 5.491. Adoption of a child resident in the United States by a resident of a foreign country not party to the Hague Adoption Convention::Rule 5.492. Adoption by a United States resident of a child resident in a foreign country that is party to the Hague Adoption Convention::Rule 5.493. Requirement to request adoption under California law of a child born in a foreign country when the adoption is finalized in the foreign country (Fam. Code, §§ 8912, 8919)",,,,,,,,"Chapter 10. Medication, Mental Health, and Education"
five__chapter_4__protective_orders__repealed___235,five,Chapter 4: Protective Orders [Repealed],Division 2. Rules Applicable in Family and Juvenile Proceedings,five__division_2__rules_applicable_in_family_and_juvenile_proceedings__231,Rule 5.495. Firearm relinquishment procedures [Repealed],,,,,,,,Chapter 11. Advocates for Parties
five__division_3__juvenile_rules__236,five,Division 3. Juvenile Rules,,,,,,,,,,,Chapter 12. Cases Petitioned Under Section 300
five__chapter_1__preliminary_provisions_title_and_definitions__237,five,Chapter 1. Preliminary Provisions-Title and Definitions,Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,Rule 5.500. Division title::Rule 5.501. Preliminary provisions::Rule 5.502. Definitions and use of terms::Rule 5.504. Judicial Council forms::Rule 5.505. Juvenile dependency court performance measures,,,,,,,,Article 1. Initial Hearing
five__chapter_2__commencement_of_juvenile_court_proceedings__238,five,Chapter 2. Commencement of Juvenile Court Proceedings,Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,Rule 5.510. Proper court; determination of child's residence; exclusive jurisdiction::Rule 5.512. Joint assessment procedure::Rule 5.514. Intake; guidelines::Rule 5.516. Factors to consider::Rule 5.518. Court-connected child protection/dependency mediation::Rule 5.520. Filing the petition; application for petition::Rule 5.522. Remote filing::Rule 5.523. Electronic service (§ 212.5)::Rule 5.524. Form of petition; notice of hearing::Rule 5.526. Citation to appear; warrants of arrest; subpoenas,,,,,,,,Article 2. Jurisdiction
five__chapter_3__general_conduct_of_juvenile_court_proceedings__239,five,Chapter 3. General Conduct of Juvenile Court Proceedings,Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,"Rule 5.530. Persons present::Rule 5.531. Appearance by telephone (§ 388; Pen. Code § 2625)::Rule 5.532. Court reporter; transcripts::Rule 5.534. General provisions-all proceedings::Rule 5.536. General provisions-proceedings held before referees::Rule 5.538. Conduct of proceedings held before a referee not acting as a temporary judge::Rule 5.540. Orders of referees not acting as temporary judges::Rule 5.542. Rehearing of proceedings before referees::Rule 5.544. Prehearing motions (§ 700.1)::Rule 5.546. Prehearing discovery::Rule 5.548. Granting immunity to witnesses::Rule 5.550. Continuances::Rule 5.552. Confidentiality of records (§§ 827, 827.12, 828)::Rule 5.553. Juvenile case file of a deceased child::Rule 5.555. Hearing to consider termination of juvenile court jurisdiction over a nonminor-dependents or wards of the juvenile court in a foster care placement and nonminor dependents (§§ 224.1(b), 303, 366.31, 391, 451, 452, 607.2, 607.3, 16501.1 (g)(16))",,,,,,,,Article 3. Disposition
five__chapter_4__subsequent_petitions_and_modifications__240,five,Chapter 4. Subsequent Petitions and Modifications,Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,"Rule 5.560. General provisions::Rule 5.565. Hearing on subsequent and supplemental petitions (§§ 342, 364, 386, 387)::Rule 5.570. Request to change court order (petition for modification)::Rule 5.575. Joinder of agencies::Rule 5.580. Hearing on violation of probation (§ 777)",,,,,,,,"Article 4. Reviews, Permanent Planning"
five__chapter_5__appellate_review__241,five,Chapter 5. Appellate Review,Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,"Rule 5.585. Rules governing appellate review::Rule 5.590. Advisement of right to review in section 300, 601, or 602 cases::Rule 5.595. Stay pending appeal",,,,,,,,Chapter 13. Cases Petitioned Under Sections 601 and 602
five__chapter_6__emancipation__242,five,Chapter 6. Emancipation,Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,Rule 5.605. Emancipation of minors,,,,,,,,Article 1. Initial Appearance
five__chapter_7__intercounty_transfers__out_of_county_placements__interstate_compact_on_the_placement_of_children__243,five,Chapter 7. Intercounty Transfers; Out-of-County Placements; Interstate Compact on the Placement of Children,Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,"Rule 5.610. Transfer-out hearing::Rule 5.612. Transfer-in hearing::Rule 5.613. Transfer of nonminor dependents::Rule 5.614. Out-of-county placements::Rule 5.616. Interstate Compact on the Placement of Children::Rule 5.618. Placement in short-term residential therapeutic program (§§ 361.22, 727.12)",,,,,,,,Article 2. Hearing on Transfer of Jurisdiction to Criminal Court
five__chapter_8__restraining_orders__custody_orders__and_guardianships_general_court_authority__244,five,"Chapter 8. Restraining Orders, Custody Orders, and Guardianships General Court Authority",Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,Rule 5.620. Orders after filing under section 300::Rule 5.625. Orders after filing of petition under section 601 or 602::Rule 5.630. Restraining orders,,,,,,,,Article 3. Jurisdiction
five__chapter_9__parentage__245,five,Chapter 9. Parentage,Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,"Rule 5.635. Parentage::Rule 5.637. Family Finding (§§ 309(e), 628(d))",,,,,,,,Article 4. Disposition
five__chapter_10__medication__mental_health__and_education__246,five,"Chapter 10. Medication, Mental Health, and Education",Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,"Rule 5.640. Psychotropic medications::Rule 5.642. Authorization to release psychotropic medication prescription information to Medical Board of California::Former Rule 5.645. Renumbered effective January 1, 2020::Rule 5.643. Mental health or condition of child; court procedures::Rule 5.645. Mental health or condition of child; competency evaluations::Rule 5.647. Medi-Cal: Presumptive Transfer of Specialty Mental Health Services::Rule 5.649. Right to make educational or developmental-services decisions::Rule 5.650. Appointed educational rights holder::Rule 5.651. Educational and developmental-services decisionmaking rights::Rule 5.652. Access to pupil records for truancy purposes",,,,,,,,Article 5. Reviews and Sealing
five__chapter_11__advocates_for_parties__247,five,Chapter 11. Advocates for Parties,Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,"Rule 5.655. Program requirements for Court Appointed Special Advocate programs::Rule 5.660. Attorneys for parties (§§ 317, 317.5, 317.6, 353, 366.26, 16010.6)::Rule 5.661. Representation of the child on appeal::Rule 5.662. Child Abuse Prevention and Treatment Act (CAPTA) guardian ad litem for a child subject to a juvenile dependency petition::Rule 5.663. Responsibilities of children's counsel in delinquency proceedings (§§ 202, 265, 633, 634, 634.3 634.6, 679, 700)::Rule 5.664. Training requirements for children's counsel in delinquency proceedings (§ 634.3)",,,,,,,,Chapter 14. Nonminor Dependent
five__chapter_12__cases_petitioned_under_section_300__248,five,Chapter 12. Cases Petitioned Under Section 300,Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,,,,,,,,,Division 1. Probate Rules
five__article_1__initial_hearing__249,five,Article 1. Initial Hearing,Chapter 12. Cases Petitioned Under Section 300,five__chapter_12__cases_petitioned_under_section_300__248,"Rule 5.667. Service and notice::Rule 5.668. Commencement of hearing-explanation of proceedings (§§ 316, 316.2)::Rule 5.670. Initial hearing; detention hearings; time limit on custody; setting jurisdiction hearing; visitation (§§ 309, 311, 313, 315, 362.1)::Rule 5.672. Continuances::Rule 5.674. Conduct of hearing; admission, no contest, submission::Rule 5.676. Requirements for detention::Rule 5.678. Findings in support of detention; factors to consider; reasonable efforts; active efforts; detention alternatives::Rule 5.680. Detention rehearings; prima facie hearings [Repealed]",,,,,,,,Chapter 1. General Provisions
five__article_2__jurisdiction__250,five,Article 2. Jurisdiction,Chapter 12. Cases Petitioned Under Section 300,five__chapter_12__cases_petitioned_under_section_300__248,"Rule 5.682. Commencement of jurisdiction hearing-advisement of trial rights; admission, no contest, submission::Rule 5.684. Contested hearing on petition::Rule 5.686. Continuance pending disposition hearing [Repealed]::Rule 5.688. Failure to cooperate with services (§ 360(b)) [Repealed]",,,,,,,,"Chapter 2. Notices, Publication, and Service"
five__article_3__disposition__251,five,Article 3. Disposition,Chapter 12. Cases Petitioned Under Section 300,five__chapter_12__cases_petitioned_under_section_300__248,"Rule 5.690. General conduct of disposition hearing::Rule 5.695. Findings and orders of the court-disposition::Rule 5.697. Disposition Hearing for a Nonminor (Welf. & Inst. Code, §§ 224.1, 295, 303, 358, 358.1, 361, 366.31, 390, 391)::Rule 5.700. Termination of jurisdiction-custody and visitation orders (§§ 302, 304, 361.2, 362.4, 726.5)::Rule 5.705. Setting a hearing under section 366.26",,,,,,,,Chapter 3. Pleadings
five__article_4__reviews__permanent_planning__252,five,"Article 4. Reviews, Permanent Planning",Chapter 12. Cases Petitioned Under Section 300,five__chapter_12__cases_petitioned_under_section_300__248,"Rule 5.706. Family maintenance review hearings (§ 364)::Rule 5.707. Review or dispositional hearing requirements for child approaching majority (§§ 224.1, 366(a)(1)(F), 366.3, 366.31, 16501.1(f)(16))::Rule 5.708. General review hearing requirements::Rule 5.710. Six-month review hearing::Rule 5.715. Twelve-month permanency hearing::Rule 5.720. Eighteen-month permanency review hearing::Rule 5.722. Twenty-four-month subsequent permanency review hearing::Rule 5.725. Selection of permanent plan (§§ 366.24, 366.26, 727.31)::Rule 5.726. Prospective adoptive parent designation (§§ 366.26(n), 16010.6)::Rule 5.727. Proposed removal (§ 366.26(n))::Rule 5.728. Emergency removal (§ 366.26(n))::Rule 5.730. Adoption::Rule 5.735. Legal guardianship::Rule 5.740. Hearings after selection of a permanent plan (§§ 366.26, 366.3, 16501.1)",,,,,,,,Chapter 4. Appointment of Executors and Administrators
five__chapter_13__cases_petitioned_under_sections_601_and_602__253,five,Chapter 13. Cases Petitioned Under Sections 601 and 602,Division 3. Juvenile Rules,five__division_3__juvenile_rules__236,,,,,,,,,"Chapter 5. Bonding of Personal Representatives, Guardians, Conservators, and Trustees"
